source,target,weight
gur,tail,5
gur,beer,14
gur,ketchup,41
gur,concentrate,6
gur,feta,41
gur,scallop,8
gur,penne,4
gur,hass,13
gur,arrowroot,5
gur,essence,8
gur,tempeh,1
gur,celeriac,2
gur,tangerine,9
gur,duck,3
gur,vermouth,4
gur,soy protein,16
gur,creme,34
gur,amaretto,12
gur,snapper,4
gur,tender,6
gur,halibut,1
gur,anchovy,3
gur,besan,6
gur,liquid,7
gur,baharat,3
gur,carob chip,6
gur,bouillon,9
gur,artichoke,6
gur,blackberrie,16
gur,clam,4
gur,lobster,4
gur,gorgonzola,10
gur,harissa,18
gur,mirin,2
gur,lychee,3
gur,oelek,3
gur,borage,2
gur,mortadella,1
gur,quail,1
gur,cherimoya,1
gur,stevia,23
gur,bisquick,6
gur,jaggery,4
gur,anise,14
gur,muesli,17
gur,yoghurt,6
gur,liqueur,10
gur,blossom,1
gur,crust,1
gur,lovage,4
gur,zinfandel,1
gur,farina,2
gur,edamame,7
gur,colby,10
gur,chinese,1
gur,flower,1
gur,bamboo shoot,1
gur,kielbasa,2
gur,guacamole,1
gur,amaretti,3
gur,mascarpone,7
gur,bartlett,1
gur,mesclun,2
gur,cookie,4
gur,quinoa,38
gur,cognac,4
gur,masa harina,2
gur,weetabix,3
gur,bourbon,6
gur,grit,1
gur,marsala,1
gur,bread,3
gur,bouquet garni,3
gur,rocket,4
gur,polenta,7
gur,custard,3
gur,pie filling,2
gur,guava,5
gur,aubergine,8
gur,ladyfinger,3
gur,kumara,7
gur,pesto,2
gur,blood,3
gur,plantain,1
gur,pancetta,5
gur,fry,2
gur,vegemite,2
gur,medium cheddar,1
gur,msg,2
gur,vodka,9
gur,pico gallo,3
gur,advieh,1
gur,quark,2
gur,rotel,2
gur,gruyere,4
gur,queso,3
gur,bottom,1
gur,radicchio,2
gur,sorghum,2
gur,cannellini,1
gur,pernod,3
gur,stock,3
gur,hummus,1
gur,tabouli,1
gur,phyllo shell,1
gur,amaranth,3
gur,erythritol,1
gur,feijoas,1
gur,roll,1
gur,scape,2
gur,stuffing,1
gur,angelica,2
gur,fontina,1
gur,teff,3
gur,kohlrabi,2
gur,gluten,1
gur,dolcelatte,1
gur,quince,1
gur,speck,1
gur,hominy,2
gur,parmigiano,1
gur,jelly,1
gur,calvados,2
gur,longan,1
gur,radiatore,1
gur,mussel,2
gur,swede,1
gur,aioli,1
gur,miso,1
gur,mizuna,1
gur,tomatillo,1
gur,bocconcini,1
lemon,sugar,21406
lemon,cashew,390
lemon,chicken,2366
lemon,chili,1085
lemon,cilantro,2329
lemon,clove,5173
lemon,corn,5000
lemon,egg,11696
lemon,garlic,14670
lemon,ghee,132
lemon,gra,2769
lemon,mace,172
lemon,milk,6673
lemon,mint,2502
lemon,onion,16910
lemon,raisin,1649
lemon,rice,1822
lemon,saffron,399
lemon,salt,28199
lemon,seed,2625
lemon,tomato,6310
lemon,water,11820
lemon,honey,3706
lemon,mushroom,2008
lemon,oil,19491
lemon,pepper,12774
lemon,powder,7456
lemon,sauce,7630
lemon,syrup,653
lemon,tofu,452
lemon,wine,5966
lemon,zucchini,1200
lemon,bean,2559
lemon,cayenne,791
lemon,lettuce,1503
lemon,parsley,8228
lemon,plum,686
lemon,scallion,1426
lemon,butter,17241
lemon,carrot,3018
lemon,celery,3281
lemon,flour,11163
lemon,pea,2807
lemon,shortening,505
lemon,cumin,3096
lemon,margarine,2214
lemon,shrimp,2283
lemon,broth,3019
lemon,floret,371
lemon,marjoram,359
lemon,nut,6837
lemon,oregano,2951
lemon,savory,63
lemon,apple,4074
lemon,lime,2399
lemon,orange,2267
lemon,sec,227
lemon,vanilla,2205
lemon,bay,1626
lemon,beet,269
lemon,cabbage,461
lemon,rosemary,1710
lemon,cheese,8070
lemon,lamb,790
lemon,potato,2219
lemon,shallot,1993
lemon,thyme,3001
lemon,cream,8493
lemon,asparagus,728
lemon,chive,1602
lemon,dill,2573
lemon,fettuccine,130
lemon,salmon,948
lemon,cinnamon,3841
lemon,cucumber,2035
lemon,white,1415
lemon,basil,3495
lemon,breast,3228
lemon,currant,365
lemon,date,322
